id,title,description,image_link,link,product_type,brand,price,availability,item_group_id,checkout_url,additional_image_link,sale_price_effective_date,sale_price,condition,visibility,gender,color,size,pattern,google_product_category,default_product,variant
wc_post_id_1148,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: KOMPLIT Bekas Jerawat",https://skinexpert.id/wp-content/uploads/2022/10/88.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=KOMPLIT+Bekas+Jerawat,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",320000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1147,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: + Serum Centella",https://skinexpert.id/wp-content/uploads/2022/10/Centella-Essence-Zenity.jpg,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=%2B+Serum+Centella,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",280000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1146,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: + Serum Hidrasi",https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=%2B+Serum+Hidrasi,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",280000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1145,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: + Serum Jerawat",https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=%2B+Serum+Jerawat,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",280000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1144,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: + Serum Mencerahkan",https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=%2B+Serum+Mencerahkan,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",280000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1143,"PAKET JERAWAT BATU BERUNTUS BEKAS JERAWAT GLOWING NIRMALA KALYANI ACNE WHITE SUPER GLOW | Skinexpert.id","PAKET: isi 4",https://skinexpert.id/wp-content/uploads/2022/10/13.png,https://skinexpert.id/product/paket-jerawat-batu-beruntus-bekas-jerawat-glowing-nirmala-kalyani-acne-white-super-glow-skinexpert-id/?attribute_paket=isi+4,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",215000IDR,in stock,wc_post_id_1126,,"https://skinexpert.id/wp-content/uploads/2022/10/16_1654243340790.png,https://skinexpert.id/wp-content/uploads/2022/10/29_1663900890969.png,https://skinexpert.id/wp-content/uploads/2022/10/45_1663900891119.png,https://skinexpert.id/wp-content/uploads/2022/10/63_1663900891219.png,https://skinexpert.id/wp-content/uploads/2022/10/53_1663900891377.png",,0,new,published,,,,,,,
wc_post_id_1493,"Cream Wajah Jerawat dan Bekas Jerawat Skinexpert.id NK Acne Clear Morning Cream Pagi Cream Jerawat Ampuh BPOM","Ukuran :: 15g",https://skinexpert.id/wp-content/uploads/2022/10/17_1638759274316_resized128.png,https://skinexpert.id/product/cream-wajah-jerawat-dan-bekas-jerawat-skinexpert-id-nk-acne-clear-morning-cream-pagi-cream-jerawat-ampuh-bpom/?attribute_ukuran=15g,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",85000IDR,in stock,wc_post_id_1489,,"https://skinexpert.id/wp-content/uploads/2022/10/89.png,https://skinexpert.id/wp-content/uploads/2022/10/17_1638759273719.png,https://skinexpert.id/wp-content/uploads/2022/10/98.png",,0,new,published,,,,,,,
wc_post_id_1486,"Paket Wajah Jerawat Acne Clear Basic Tea Tree Oil Nirmala Kalyani | Skinexpert.id","UKURAN CREAM: 15gr",https://skinexpert.id/wp-content/uploads/2022/10/62_1654243902604.png,https://skinexpert.id/product/paket-wajah-jerawat-acne-clear-basic-tea-tree-oil-nirmala-kalyani-skinexpert-id/?attribute_ukuran-cream=15gr,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",200000IDR,in stock,wc_post_id_1477,,"https://skinexpert.id/wp-content/uploads/2022/10/Acne-Face-Wash-Nirmala-Kalyani.jpg,https://skinexpert.id/wp-content/uploads/2022/10/224.png,https://skinexpert.id/wp-content/uploads/2022/10/89.png",,0,new,published,,,,,,,
wc_post_id_1485,"Paket Wajah Jerawat Acne Clear Basic Tea Tree Oil Nirmala Kalyani | Skinexpert.id","UKURAN CREAM: 10gr",https://skinexpert.id/wp-content/uploads/2022/10/62_1654243902604.png,https://skinexpert.id/product/paket-wajah-jerawat-acne-clear-basic-tea-tree-oil-nirmala-kalyani-skinexpert-id/?attribute_ukuran-cream=10gr,"NIRMALA KALYANI","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",190000IDR,in stock,wc_post_id_1477,,"https://skinexpert.id/wp-content/uploads/2022/10/Acne-Face-Wash-Nirmala-Kalyani.jpg,https://skinexpert.id/wp-content/uploads/2022/10/224.png,https://skinexpert.id/wp-content/uploads/2022/10/89.png",,0,new,published,,,,,,,
wc_post_id_1342,"Paket Wajah Jerawat Berminyak Acne Basic Zenity |Skinexpert.id","krim pagi: mastic gum",https://skinexpert.id/wp-content/uploads/2022/10/Jerawat_1646099459607.png,https://skinexpert.id/product/paket-wajah-jerawat-berminyak-acne-basic-zenity-skinexpert-id/?attribute_krim-pagi=MASTIC+GUM,"ZENITY","Skinexpert - Skincare Terbaik Untuk Jerawat & Whitening",200000IDR,in stock,wc_post_id_1330,,"https://skinexpert.id/wp-content/uploads/2022/10/81_1654048330577.png,https://skinexpert.id/wp-content/uploads/2022/10/Jerawat_1646099459607.png,https://skinexpert.id/wp-content/uploads/2022/10/a32eadcb582f55e857ae5f906d5e0dc8_1605965306963..jpg",,0,new,published,,,,,,,
